match_id,season,match_date,venue,city,team1,team2,toss_winner,toss_decision,innings1_team,innings2_team,innings1_runs,innings2_runs,match_total_runs,impact_player_era_flag,team1_batting_first_flag,team2_batting_first_flag,team1_won_toss_flag,team2_won_toss_flag,team1_chasing_flag,team2_chasing_flag,toss_decision_bat_flag,toss_decision_field_flag,team1_runs_avg_last5,team1_wickets_lost_avg_last5,team1_powerplay_avg_last5,team1_death_avg_last5,team1_runs_conceded_avg_last5,team2_runs_avg_last5,team2_wickets_lost_avg_last5,team2_powerplay_avg_last5,team2_death_avg_last5,team2_runs_conceded_avg_last5,venue_avg_runs,venue_avg_powerplay,venue_avg_death,venue_avg_wickets,venue_runs_avg_last10,venue_powerplay_avg_last10,venue_death_avg_last10,venue_wickets_avg_last10
1136605,2018,2018-05-12,arun jaitley stadium,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,Royal Challengers Bangalore,181,187.0,368.0,0,1,0,0,1,0,1,0,1,192.6,5.0,55.2,57.4,175.2,163.0,6.8,47.4,50.0,162.0,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487
1136606,2018,2018-05-13,maharashtra cricket association stadium,Pune,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,179,180.0,359.0,0,1,0,0,1,0,1,0,1,156.8,5.4,45.2,39.0,150.0,172.2,4.4,52.2,54.0,170.4,168.16666666666666,46.083333333333336,48.5,5.416666666666667,168.16666666666666,46.083333333333336,48.5,5.416666666666667
1136607,2018,2018-05-13,wankhede stadium,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,168,171.0,339.0,0,1,0,0,1,0,1,0,1,178.0,4.6,46.4,53.2,157.2,154.6,6.8,57.4,34.6,164.2,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575,165.7,50.9,44.0,6.7
1136608,2018,2018-05-14,holkar cricket stadium,Indore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,Royal Challengers Bangalore,88,92.0,180.0,0,1,0,0,1,0,1,0,1,161.0,7.0,43.6,49.4,172.6,159.4,6.2,48.6,45.4,156.8,162.0,49.625,43.125,5.875,162.0,49.625,43.125,5.875
1136609,2018,2018-05-15,eden gardens,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,142,145.0,287.0,0,1,0,0,1,0,1,0,1,160.8,6.2,59.0,34.8,167.6,175.4,6.2,52.0,45.2,191.4,183.2716049382716,56.77777777777778,48.851851851851855,6.0246913580246915,159.8,53.1,33.2,6.5
1136610,2018,2018-05-16,wankhede stadium,Mumbai,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,Kings XI Punjab,186,183.0,369.0,0,1,0,0,1,0,1,0,1,177.6,5.4,46.6,52.8,157.6,154.8,7.0,44.2,44.0,164.6,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575,166.2,53.0,41.3,6.3
1136611,2018,2018-05-17,m.chinnaswamy stadium,Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Sunrisers Hyderabad,218,204.0,422.0,0,1,0,0,1,0,1,0,1,142.8,5.4,53.8,32.2,139.2,166.2,5.0,43.6,41.8,162.2,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963,184.8,46.8,60.3,5.5
1136612,2018,2018-05-18,arun jaitley stadium,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Delhi Daredevils,Chennai Super Kings,162,128.0,290.0,0,1,0,0,1,0,1,0,1,185.0,5.0,52.6,53.8,179.8,174.4,3.8,52.6,51.0,172.2,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487,175.3,53.9,42.9,5.5
1136613,2018,2018-05-19,sawai mansingh stadium,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,164,134.0,298.0,0,1,0,1,0,0,1,1,0,160.0,7.2,56.8,39.6,157.4,153.0,5.2,54.0,37.2,149.4,157.25,49.5,39.857142857142854,5.571428571428571,160.3,47.7,43.4,6.3
1136614,2018,2018-05-19,rajiv gandhi international stadium,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,172,173.0,345.0,0,1,0,1,0,0,1,1,0,176.8,4.2,47.0,46.0,177.8,169.2,6.0,52.0,40.6,184.8,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333,152.3,47.2,41.9,6.6
