match_id,team,bat_runs_avg_last5,bat_balls_avg_last5,bat_fours_avg_last5,bat_sixes_avg_last5,bowl_wickets_avg_last5,bowl_runs_conceded_avg_last5,bowl_dotballs_avg_last5,xi_player_count
1136600,Rajasthan Royals,20.066666666666666,14.333333333333334,1.7333333333333334,0.6,0.3,14.466666666666667,3.6333333333333333,11
1136601,Kolkata Knight Riders,18.075,12.475,1.925,0.75,0.45,13.9,4.55,11
1136601,Mumbai Indians,14.559999999999999,11.52,1.3800000000000001,0.58,0.58,15.64,4.4399999999999995,11
1136602,Delhi Daredevils,17.51111111111111,11.088888888888889,1.3333333333333333,0.9777777777777779,0.5333333333333333,15.311111111111112,3.3777777777777778,11
1136602,Sunrisers Hyderabad,9.457142857142857,8.657142857142857,0.9428571428571428,0.17142857142857143,0.9142857142857144,17.62857142857143,3.2285714285714286,11
1136603,Chennai Super Kings,18.955555555555556,12.666666666666666,1.2444444444444445,1.2666666666666666,0.3777777777777778,14.822222222222223,4.133333333333334,11
1136603,Rajasthan Royals,17.82857142857143,13.085714285714285,1.5142857142857142,0.5142857142857143,0.6285714285714287,15.485714285714286,3.4285714285714284,11
1136604,Kings XI Punjab,11.581818181818182,9.272727272727273,1.0,0.49090909090909096,0.5636363636363636,16.87272727272727,3.4545454545454546,11
1136604,Kolkata Knight Riders,16.155555555555555,11.8,1.7111111111111112,0.6888888888888889,0.4222222222222222,13.11111111111111,4.7555555555555555,11
1136605,Delhi Daredevils,26.099999999999998,15.366666666666667,2.1333333333333333,1.5666666666666667,0.3666666666666667,11.733333333333334,4.433333333333333,11
1136605,Royal Challengers Bangalore,14.685714285714285,10.314285714285715,0.9714285714285714,0.8571428571428571,0.4857142857142857,14.057142857142859,3.2857142857142856,11
1136606,Chennai Super Kings,16.133333333333333,11.377777777777778,1.2222222222222223,0.8666666666666667,0.48888888888888893,17.4,3.644444444444444,11
1136606,Sunrisers Hyderabad,14.35,11.425,1.325,0.325,0.625,17.95,3.475,11
1136607,Mumbai Indians,17.04,11.879999999999999,1.5,0.86,0.6,15.0,4.14,11
1136607,Rajasthan Royals,15.1,11.379999999999999,1.34,0.48,0.56,16.619999999999997,3.4200000000000004,11
1136608,Kings XI Punjab,14.636363636363637,10.799999999999999,1.0909090909090908,0.7272727272727273,0.5090909090909091,15.963636363636363,3.6,11
1136608,Royal Challengers Bangalore,11.233333333333334,8.333333333333334,0.8333333333333334,0.5,0.7333333333333334,22.333333333333332,2.6999999999999997,11
1136609,Kolkata Knight Riders,17.7,11.8,1.95,0.85,0.475,15.275,4.625,11
1136609,Rajasthan Royals,18.375,13.1,1.7,0.625,0.475,14.45,3.75,11
