match_id,season,match_date,venue,city,team1,team2,toss_winner,toss_decision,innings1_team,innings2_team,innings1_runs,innings2_runs,match_total_runs,winner,completed_flag,super_over_flag
1136598,2018,2018-05-06,Holkar Cricket Stadium,Indore,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,Kings XI Punjab,152,155.0,307.0,Kings XI Punjab,True,False
1136599,2018,2018-05-07,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,146,141.0,287.0,Sunrisers Hyderabad,True,False
1136600,2018,2018-05-08,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals,Kings XI Punjab,158,143.0,301.0,Rajasthan Royals,True,False
1136601,2018,2018-05-09,Eden Gardens,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,Kolkata Knight Riders,210,108.0,318.0,Mumbai Indians,True,False
1136602,2018,2018-05-10,Arun Jaitley Stadium,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Delhi Daredevils,Sunrisers Hyderabad,187,191.0,378.0,Sunrisers Hyderabad,True,False
1136603,2018,2018-05-11,Sawai Mansingh Stadium,Jaipur,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,176,177.0,353.0,Rajasthan Royals,True,False
1136604,2018,2018-05-12,Holkar Cricket Stadium,Indore,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,Kings XI Punjab,245,214.0,459.0,Kolkata Knight Riders,True,False
1136605,2018,2018-05-12,Arun Jaitley Stadium,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,Royal Challengers Bangalore,181,187.0,368.0,Royal Challengers Bangalore,True,False
1136606,2018,2018-05-13,Maharashtra Cricket Association Stadium,Pune,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,179,180.0,359.0,Chennai Super Kings,True,False
1136607,2018,2018-05-13,Wankhede Stadium,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,168,171.0,339.0,Rajasthan Royals,True,False
